Date,normalized_altcoin_dollar_oi
01-01-2021,0.004938153052890313
02-01-2021,0.004860261812890653
03-01-2021,0.005315887836295864
04-01-2021,0.004739252996856033
05-01-2021,0.004859332501318942
06-01-2021,0.004993436640201861
07-01-2021,0.005002409029276399
08-01-2021,0.0048599135365084995
09-01-2021,0.0053280686098209264
10-01-2021,0.005033629513622157
11-01-2021,0.004102028071299793
12-01-2021,0.004122158913515965
13-01-2021,0.0044115967362296565
14-01-2021,0.004531738981084042
15-01-2021,0.004690276284480339
16-01-2021,0.005109495277988963
17-01-2021,0.005326736590372776
18-01-2021,0.00544986623244472
19-01-2021,0.004943813452487339
20-01-2021,0.004755657140490913
21-01-2021,0.0043758651702681325
22-01-2021,0.00431177235441659
23-01-2021,0.004685312923464323
24-01-2021,0.004747300864509415
25-01-2021,0.004582248366687218
26-01-2021,0.004555916574329544
27-01-2021,0.004541990281060865
28-01-2021,0.00492627726199389
29-01-2021,0.0048865907816596525
30-01-2021,0.005505218375493599
31-01-2021,0.005620524529622428
01-02-2021,0.005737995854305325
02-02-2021,0.00580225425962787
03-02-2021,0.007334043668990383
04-02-2021,0.006097825768125578
05-02-2021,0.006420305964718483
06-02-2021,0.006258247750471144
07-02-2021,0.005775396426307333
08-02-2021,0.006096448742860293
09-02-2021,0.006500558947536915
10-02-2021,0.006077919130840647
11-02-2021,0.006492676370226226
12-02-2021,0.006698755640394742
13-02-2021,0.00692862908895838
14-02-2021,0.006669924707692527
15-02-2021,0.005603508831108559
16-02-2021,0.005538591680658428
17-02-2021,0.005930582406894752
18-02-2021,0.006066057642102346
19-02-2021,0.006290152787483381
20-02-2021,0.005923500471199353
21-02-2021,0.005932661855627609
22-02-2021,0.004831029669920469
23-02-2021,0.003968831171722618
24-02-2021,0.003971046494069645
25-02-2021,0.004010228323914553
26-02-2021,0.003921122724840624
27-02-2021,0.003914748480309267
28-02-2021,0.003903813529397329
01-03-2021,0.004090839489548663
02-03-2021,0.004075987696468402
03-03-2021,0.004186359514016421
04-03-2021,0.004152540049010172
05-03-2021,0.003998563514758059
06-03-2021,0.004052721026963888
07-03-2021,0.0042919930615481295
08-03-2021,0.004623466574102005
09-03-2021,0.005023589714199666
10-03-2021,0.004744404096093782
11-03-2021,0.004934960024905603
12-03-2021,0.004789545342128679
13-03-2021,0.005015887782186662
14-03-2021,0.004960309674516975
15-03-2021,0.004822374497474747
16-03-2021,0.005004987940990454
17-03-2021,0.005304541622213636
18-03-2021,0.005318402287246628
19-03-2021,0.005439137581403348
20-03-2021,0.0056069878913486875
21-03-2021,0.005484716982274828
22-03-2021,0.005301892869731558
23-03-2021,0.005240550797310503
24-03-2021,0.0048507883910293165
25-03-2021,0.004573769323412601
26-03-2021,0.004790302949109221
27-03-2021,0.00493227853098289
28-03-2021,0.005041661415305006
29-03-2021,0.005298828265523231
30-03-2021,0.005642625831583432
31-03-2021,0.005575316621235544
01-04-2021,0.0058063087110352156
02-04-2021,0.00604288382955274
03-04-2021,0.005695267250340979
04-04-2021,0.005825770166750742
05-04-2021,0.0063853776574471065
06-04-2021,0.006365096922923495
07-04-2021,0.005827408995537901
08-04-2021,0.005981463830519483
09-04-2021,0.006056615368227886
10-04-2021,0.006305212888340578
11-04-2021,0.006402673638731445
12-04-2021,0.006651832341144121
13-04-2021,0.006886367668984797
14-04-2021,0.00677461034894502
15-04-2021,0.007098262673570731
16-04-2021,0.006743462501107131
17-04-2021,0.006768365245316145
18-04-2021,0.0045948213011498176
19-04-2021,0.00447273726012007
20-04-2021,0.004479714835127494
21-04-2021,0.004496113869820226
22-04-2021,0.004391880628483523
23-04-2021,0.003922055040137155
24-04-2021,0.003869990803022911
25-04-2021,0.00395595358196772
26-04-2021,0.00394383570582029
27-04-2021,0.004156856092517937
28-04-2021,0.0042257849657848625
29-04-2021,0.004413359965498965
30-04-2021,0.004688394184511933
01-05-2021,0.004853983384940792
02-05-2021,0.004827211234816124
03-05-2021,0.005133133776348178
04-05-2021,0.0047472289400049324
05-05-2021,0.0052413945656444305
06-05-2021,0.00549139316073426
07-05-2021,0.005573896281179822
08-05-2021,0.005611537547452046
09-05-2021,0.0056246313712182755
10-05-2021,0.00483700735539823
11-05-2021,0.00489487275985592
12-05-2021,0.00444624362564334
13-05-2021,0.0040571905405550725
14-05-2021,0.004155332645160959
15-05-2021,0.004225815130798511
16-05-2021,0.004242471463218296
17-05-2021,0.0041850676546631585
18-05-2021,0.004275466916655269
19-05-2021,0.0025384125805970157
20-05-2021,0.0024805470625798476
21-05-2021,0.002512567392104666
22-05-2021,0.002488515925502187
23-05-2021,0.0025768624352667793
24-05-2021,0.0026028024461160764
25-05-2021,0.002570347017652624
26-05-2021,0.002639684663883572
27-05-2021,0.0026047818726672375
28-05-2021,0.0025693921520343796
29-05-2021,0.0026705906641814243
30-05-2021,0.002682490290972945
31-05-2021,0.0026916206496156933
01-06-2021,0.0028046832060145614
02-06-2021,0.002956044554563199
03-06-2021,0.003082495689779102
04-06-2021,0.0028794811321694105
05-06-2021,0.0029138831737032843
06-06-2021,0.002938443235232624
07-06-2021,0.0028909312976778566
08-06-2021,0.002784954484176715
09-06-2021,0.002803708913887583
10-06-2021,0.0027846021848646763
11-06-2021,0.0027951916745931546
12-06-2021,0.00283011482923468
13-06-2021,0.00287435755539546
14-06-2021,0.002912951670848382
15-06-2021,0.0029157421595094354
16-06-2021,0.0029627194948232136
17-06-2021,0.0030117751531291976
18-06-2021,0.0029723087538237143
19-06-2021,0.00297100723237647
20-06-2021,0.0029702804915693096
