Date,normalized_total_dollar_oi
01-01-2021,0.002719247516549609
02-01-2021,0.002612270495624387
03-01-2021,0.0027407243589682097
04-01-2021,0.0025239048531788015
05-01-2021,0.002528906603114439
06-01-2021,0.0024828205934673228
07-01-2021,0.0025015327806587424
08-01-2021,0.0022907793366149422
09-01-2021,0.002620758163072247
10-01-2021,0.0025866666636453796
11-01-2021,0.0021550239747452227
12-01-2021,0.0020547798581662742
13-01-2021,0.0022390902854244523
14-01-2021,0.002239932812668111
15-01-2021,0.0023320090864643933
16-01-2021,0.0024771678724109323
17-01-2021,0.0024785516914270275
18-01-2021,0.002565096652679837
19-01-2021,0.0026168570527969606
20-01-2021,0.002583939425811585
21-01-2021,0.0024771369419547455
22-01-2021,0.0023281389010912632
23-01-2021,0.002440473690574859
24-01-2021,0.0025853501476034374
25-01-2021,0.002576807219025807
26-01-2021,0.0025054136389092737
27-01-2021,0.0025144071750500233
28-01-2021,0.0026567158944216275
29-01-2021,0.002629840061547242
30-01-2021,0.0028168787387530905
31-01-2021,0.002878503608696795
01-02-2021,0.0028318269171568743
02-02-2021,0.003062120551734305
03-02-2021,0.003225478174518695
04-02-2021,0.003052756434769639
05-02-2021,0.0032506721309836116
06-02-2021,0.0032645277978574964
07-02-2021,0.002984421535447335
08-02-2021,0.0031212013281034195
09-02-2021,0.0032076142885523774
10-02-2021,0.003096135669512624
11-02-2021,0.0032957823469712366
12-02-2021,0.003441048205480247
13-02-2021,0.0034720334642373016
14-02-2021,0.003448185653392495
15-02-2021,0.003043192779198602
16-02-2021,0.0029979687281828666
17-02-2021,0.0032156473224429316
18-02-2021,0.0032414390435129854
19-02-2021,0.003288733411203515
20-02-2021,0.0030773384590534777
21-02-2021,0.003071415454699458
22-02-2021,0.0026235178418253127
23-02-2021,0.00222544257947298
24-02-2021,0.0023012264069054668
25-02-2021,0.0023783321192780067
26-02-2021,0.0022878713304602945
27-02-2021,0.0023082161387333253
28-02-2021,0.0023818796693152217
01-03-2021,0.0023821100465121112
02-03-2021,0.002449797840221297
03-03-2021,0.0024546405952495715
04-03-2021,0.002457386086669935
05-03-2021,0.0023996223931629216
06-03-2021,0.002473558976745865
07-03-2021,0.002543849044654613
08-03-2021,0.002753124044881728
09-03-2021,0.002832937010652159
10-03-2021,0.002756640289296848
11-03-2021,0.002852692968845526
12-03-2021,0.002716758904679634
13-03-2021,0.002913464827781808
14-03-2021,0.002904731318371198
15-03-2021,0.0027814755703207492
16-03-2021,0.0028149211233781577
17-03-2021,0.002854465945773567
18-03-2021,0.002871554598766281
19-03-2021,0.0029071214276498738
20-03-2021,0.00295166031287229
21-03-2021,0.0029199771922834364
22-03-2021,0.002921082118608463
23-03-2021,0.002959434947338501
24-03-2021,0.002753527462340622
25-03-2021,0.002751665083338286
26-03-2021,0.002767334336430583
27-03-2021,0.0027585197211162002
28-03-2021,0.00277166368267833
29-03-2021,0.0029319322616985885
30-03-2021,0.0030665811375416986
31-03-2021,0.0030814037181252614
01-04-2021,0.0031269935367733343
02-04-2021,0.003292213529696998
03-04-2021,0.0031968068145941755
04-04-2021,0.0032443903665355196
05-04-2021,0.0034349287395866084
06-04-2021,0.003424392852271808
07-04-2021,0.0032780066158132164
08-04-2021,0.003272046787554316
09-04-2021,0.003260380328544217
10-04-2021,0.0034046512028932307
11-04-2021,0.0034793419797349632
12-04-2021,0.0036300859852761267
13-04-2021,0.003765832116228853
14-04-2021,0.003719664250076261
15-04-2021,0.0038302871689236792
16-04-2021,0.0036988705429178478
17-04-2021,0.003718011352687579
18-04-2021,0.002699399752182885
19-04-2021,0.002605422035783365
20-04-2021,0.0026699612409807364
21-04-2021,0.002698571067614613
22-04-2021,0.0027361746426100707
23-04-2021,0.0025558822622670126
24-04-2021,0.0025624592455010553
25-04-2021,0.002596562879317842
26-04-2021,0.0024718117109875344
27-04-2021,0.0025609825035627326
28-04-2021,0.0026111597738649583
29-04-2021,0.0027385367935954114
30-04-2021,0.002869761684211043
01-05-2021,0.002982687419355991
02-05-2021,0.0029947851517449064
03-05-2021,0.0031856018659610326
04-05-2021,0.0030044788983640157
05-05-2021,0.00315892019665646
06-05-2021,0.003300119152482396
07-05-2021,0.0032564714760037064
08-05-2021,0.0033127478138303855
09-05-2021,0.003280932182101424
10-05-2021,0.0029705941588225823
11-05-2021,0.00300632297477981
12-05-2021,0.0029906634924480122
13-05-2021,0.0028180535558893507
14-05-2021,0.0028217590199576892
15-05-2021,0.0029675289653950986
16-05-2021,0.0030115909064560545
17-05-2021,0.0030659194731011484
18-05-2021,0.0031070317330249716
19-05-2021,0.001813046999664799
20-05-2021,0.0017911601596377574
21-05-2021,0.0019330704733971696
22-05-2021,0.0019087260058146102
23-05-2021,0.0020210907643803534
24-05-2021,0.0020289809873007395
25-05-2021,0.002050153875661285
26-05-2021,0.002134140224897485
27-05-2021,0.002100367219768956
28-05-2021,0.0022490501059202117
29-05-2021,0.002330138547525366
30-05-2021,0.0023158727812199707
31-05-2021,0.0023306683019389913
01-06-2021,0.0023688099201388787
02-06-2021,0.0024881169635133852
03-06-2021,0.002642227184060518
04-06-2021,0.00248853680869724
05-06-2021,0.0025673569186864796
06-06-2021,0.0026156944009244256
07-06-2021,0.0027022783573660844
08-06-2021,0.0026628926218352084
09-06-2021,0.0027443893782456447
10-06-2021,0.002587359404570645
11-06-2021,0.0026565866414328763
12-06-2021,0.002671894613698636
13-06-2021,0.002753113631315845
14-06-2021,0.0027323557142443396
15-06-2021,0.0027506042574868446
16-06-2021,0.002846270715084582
