Metric,Value
Initial Capital,100
Final Portfolio Value,933.558111425215
Total Return,8.33558111425215
Annualized Return,2.1544949800459
Sharpe Ratio,2.169827530095653
Max Drawdown,-0.46326948029942294
Total Trades,963
Start Date,2023-10-01 00:00:00
End Date,2025-02-02 00:00:00
Average Position Change,0.17614598753894078
Benchmark Return,2.4202749547476543
