Date,Value
01-02-2018,30.0
02-02-2018,15.0
03-02-2018,40.0
04-02-2018,24.0
05-02-2018,11.0
06-02-2018,8.0
07-02-2018,36.0
08-02-2018,30.0
09-02-2018,44.0
10-02-2018,54.0
11-02-2018,31.0
12-02-2018,42.0
13-02-2018,35.0
14-02-2018,55.0
15-02-2018,71.0
16-02-2018,67.0
17-02-2018,74.0
18-02-2018,63.0
19-02-2018,67.0
20-02-2018,74.0
21-02-2018,54.0
22-02-2018,44.0
23-02-2018,39.0
24-02-2018,31.0
25-02-2018,33.0
26-02-2018,37.0
27-02-2018,44.0
28-02-2018,41.0
01-03-2018,38.0
02-03-2018,47.0
03-03-2018,56.0
04-03-2018,44.0
05-03-2018,55.0
06-03-2018,59.0
07-03-2018,37.0
08-03-2018,39.0
09-03-2018,37.0
10-03-2018,39.0
11-03-2018,40.0
12-03-2018,41.0
13-03-2018,41.0
14-03-2018,40.0
15-03-2018,32.0
16-03-2018,33.0
17-03-2018,31.0
18-03-2018,29.0
19-03-2018,29.0
20-03-2018,37.0
21-03-2018,36.0
22-03-2018,36.0
23-03-2018,28.0
24-03-2018,32.0
25-03-2018,30.0
26-03-2018,31.0
27-03-2018,24.0
28-03-2018,24.0
29-03-2018,18.0
30-03-2018,12.0
31-03-2018,16.0
01-04-2018,16.0
02-04-2018,11.0
03-04-2018,22.0
04-04-2018,22.0
05-04-2018,17.0
06-04-2018,19.0
07-04-2018,20.0
08-04-2018,17.0
09-04-2018,21.0
10-04-2018,18.0
11-04-2018,20.0
12-04-2018,18.0
13-04-2018,23.0
17-04-2018,26.0
18-04-2018,24.0
19-04-2018,25.0
20-04-2018,26.0
21-04-2018,32.0
22-04-2018,31.0
23-04-2018,28.0
24-04-2018,29.0
25-04-2018,64.0
26-04-2018,47.0
27-04-2018,55.0
28-04-2018,54.0
29-04-2018,61.0
30-04-2018,59.0
01-05-2018,56.0
02-05-2018,52.0
03-05-2018,55.0
04-05-2018,56.0
05-05-2018,63.0
06-05-2018,67.0
07-05-2018,56.0
08-05-2018,62.0
09-05-2018,53.0
10-05-2018,63.0
11-05-2018,41.0
12-05-2018,44.0
13-05-2018,40.0
14-05-2018,40.0
15-05-2018,40.0
16-05-2018,32.0
17-05-2018,31.0
18-05-2018,37.0
19-05-2018,31.0
20-05-2018,32.0
21-05-2018,41.0
22-05-2018,30.0
23-05-2018,26.0
24-05-2018,27.0
25-05-2018,25.0
26-05-2018,23.0
27-05-2018,19.0
28-05-2018,22.0
29-05-2018,16.0
30-05-2018,38.0
31-05-2018,25.0
01-06-2018,24.0
02-06-2018,27.0
03-06-2018,40.0
04-06-2018,41.0
05-06-2018,26.0
06-06-2018,42.0
07-06-2018,38.0
08-06-2018,40.0
09-06-2018,39.0
10-06-2018,24.0
11-06-2018,15.0
12-06-2018,19.0
13-06-2018,19.0
14-06-2018,17.0
15-06-2018,26.0
16-06-2018,22.0
17-06-2018,23.0
18-06-2018,27.0
19-06-2018,32.0
20-06-2018,34.0
21-06-2018,37.0
22-06-2018,28.0
23-06-2018,17.0
24-06-2018,15.0
25-06-2018,16.0
26-06-2018,21.0
27-06-2018,18.0
28-06-2018,20.0
29-06-2018,16.0
30-06-2018,22.0
01-07-2018,27.0
02-07-2018,27.0
03-07-2018,31.0
04-07-2018,33.0
05-07-2018,37.0
06-07-2018,34.0
07-07-2018,34.0
08-07-2018,38.0
09-07-2018,39.0
10-07-2018,37.0
11-07-2018,29.0
12-07-2018,33.0
13-07-2018,29.0
14-07-2018,29.0
15-07-2018,32.0
16-07-2018,36.0
17-07-2018,39.0
18-07-2018,42.0
19-07-2018,44.0
20-07-2018,47.0
21-07-2018,43.0
22-07-2018,46.0
23-07-2018,44.0
24-07-2018,49.0
25-07-2018,54.0
26-07-2018,53.0
27-07-2018,47.0
28-07-2018,54.0
29-07-2018,54.0
30-07-2018,53.0
31-07-2018,48.0
01-08-2018,39.0
02-08-2018,39.0
03-08-2018,36.0
04-08-2018,31.0
05-08-2018,23.0
06-08-2018,25.0
07-08-2018,25.0
08-08-2018,23.0
09-08-2018,19.0
10-08-2018,21.0
11-08-2018,18.0
12-08-2018,18.0
13-08-2018,21.0
14-08-2018,16.0
15-08-2018,18.0
16-08-2018,21.0
17-08-2018,19.0
18-08-2018,24.0
19-08-2018,27.0
20-08-2018,26.0
21-08-2018,19.0
22-08-2018,21.0
23-08-2018,18.0
24-08-2018,19.0
25-08-2018,22.0
26-08-2018,19.0
27-08-2018,18.0
28-08-2018,19.0
29-08-2018,19.0
30-08-2018,22.0
31-08-2018,17.0
01-09-2018,21.0
02-09-2018,18.0
03-09-2018,19.0
04-09-2018,26.0
05-09-2018,17.0
06-09-2018,14.0
07-09-2018,17.0
08-09-2018,18.0
09-09-2018,13.0
10-09-2018,15.0
11-09-2018,18.0
12-09-2018,14.0
13-09-2018,20.0
14-09-2018,23.0
15-09-2018,24.0
16-09-2018,28.0
17-09-2018,25.0
18-09-2018,21.0
19-09-2018,24.0
20-09-2018,24.0
21-09-2018,31.0
22-09-2018,35.0
23-09-2018,38.0
24-09-2018,43.0
25-09-2018,37.0
26-09-2018,37.0
27-09-2018,42.0
28-09-2018,42.0
29-09-2018,37.0
30-09-2018,34.0
01-10-2018,35.0
02-10-2018,33.0
03-10-2018,36.0
04-10-2018,29.0
05-10-2018,37.0
06-10-2018,34.0
07-10-2018,29.0
08-10-2018,26.0
09-10-2018,31.0
10-10-2018,28.0
11-10-2018,19.0
12-10-2018,13.0
13-10-2018,15.0
14-10-2018,18.0
15-10-2018,20.0
16-10-2018,24.0
17-10-2018,23.0
18-10-2018,26.0
19-10-2018,24.0
20-10-2018,21.0
21-10-2018,21.0
22-10-2018,27.0
23-10-2018,24.0
24-10-2018,23.0
25-10-2018,25.0
26-10-2018,29.0
27-10-2018,33.0
28-10-2018,35.0
