Date,Value
01-01-2021,0.0
02-01-2021,0.0
03-01-2021,0.0
04-01-2021,0.0
05-01-2021,0.0
06-01-2021,0.0
07-01-2021,0.0
08-01-2021,0.0
09-01-2021,0.0
10-01-2021,0.0
11-01-2021,0.0
12-01-2021,0.0
13-01-2021,0.0
14-01-2021,0.0
15-01-2021,0.0
16-01-2021,0.0
17-01-2021,0.0
18-01-2021,0.0
19-01-2021,0.0
20-01-2021,0.0
21-01-2021,0.0
22-01-2021,0.0
23-01-2021,0.0
24-01-2021,0.0
25-01-2021,0.0
26-01-2021,0.0
27-01-2021,0.0
28-01-2021,0.0
29-01-2021,0.0
30-01-2021,0.0
31-01-2021,0.0
01-02-2021,0.0
02-02-2021,0.0
03-02-2021,0.0
04-02-2021,0.0
05-02-2021,0.0
06-02-2021,0.0
07-02-2021,0.0
08-02-2021,0.0
09-02-2021,0.0
10-02-2021,0.0
11-02-2021,0.0
12-02-2021,0.0
13-02-2021,0.0
14-02-2021,0.0
15-02-2021,0.0
16-02-2021,0.0
17-02-2021,0.0
18-02-2021,0.0
19-02-2021,0.0
20-02-2021,0.0
21-02-2021,0.0
22-02-2021,0.0
23-02-2021,0.0
24-02-2021,0.0
25-02-2021,0.0
26-02-2021,0.0
27-02-2021,0.0
28-02-2021,0.0
01-03-2021,0.0
02-03-2021,0.0
03-03-2021,0.0
04-03-2021,0.0
05-03-2021,0.0
06-03-2021,0.0
07-03-2021,0.0
08-03-2021,0.0
09-03-2021,0.0
10-03-2021,0.0
11-03-2021,0.0
12-03-2021,0.0
13-03-2021,0.0
14-03-2021,0.0
15-03-2021,0.0
16-03-2021,0.0
17-03-2021,0.0
18-03-2021,0.0
19-03-2021,0.0
20-03-2021,0.0
21-03-2021,0.0
22-03-2021,0.0
23-03-2021,0.0
24-03-2021,0.0
25-03-2021,0.0
26-03-2021,0.0
27-03-2021,0.0
28-03-2021,0.0
29-03-2021,0.0
30-03-2021,0.0
31-03-2021,0.0
01-04-2021,0.0
02-04-2021,0.0
03-04-2021,0.0
04-04-2021,0.0
05-04-2021,0.0
06-04-2021,0.0
07-04-2021,0.0
08-04-2021,0.0
09-04-2021,0.0
10-04-2021,0.0
11-04-2021,0.0
12-04-2021,0.0
13-04-2021,0.0
14-04-2021,0.0
15-04-2021,0.0
16-04-2021,0.0
17-04-2021,0.0
18-04-2021,0.0
19-04-2021,0.0
20-04-2021,0.0
21-04-2021,0.0
22-04-2021,0.0
23-04-2021,0.0
24-04-2021,0.0
25-04-2021,0.0
26-04-2021,0.0
27-04-2021,0.0
28-04-2021,0.0
29-04-2021,0.0
30-04-2021,0.0
01-05-2021,0.0
02-05-2021,0.0
03-05-2021,0.0
04-05-2021,0.0
05-05-2021,0.0
06-05-2021,0.0
07-05-2021,0.0
08-05-2021,0.0
09-05-2021,0.0
10-05-2021,0.0
11-05-2021,0.0
12-05-2021,0.0
13-05-2021,0.0
14-05-2021,0.0
15-05-2021,0.0
16-05-2021,0.0
17-05-2021,0.0
18-05-2021,0.0
19-05-2021,0.0
20-05-2021,43.01075268817204
21-05-2021,23.655913978494624
22-05-2021,18.27956989247312
23-05-2021,9.67741935483871
24-05-2021,22.58064516129032
25-05-2021,21.50537634408602
26-05-2021,36.55913978494624
27-05-2021,31.182795698924732
28-05-2021,17.20430107526882
29-05-2021,15.053763440860216
30-05-2021,20.43010752688172
31-05-2021,29.03225806451613
01-06-2021,22.58064516129032
02-06-2021,29.03225806451613
03-06-2021,36.55913978494624
04-06-2021,24.731182795698924
05-06-2021,21.50537634408602
06-06-2021,24.731182795698924
07-06-2021,15.053763440860216
08-06-2021,15.053763440860216
09-06-2021,16.129032258064516
10-06-2021,13.978494623655912
11-06-2021,10.638297872340425
12-06-2021,10.638297872340425
13-06-2021,13.829787234042554
14-06-2021,14.893617021276595
15-06-2021,17.02127659574468
16-06-2021,10.638297872340425
17-06-2021,11.702127659574469
18-06-2021,7.446808510638298
19-06-2021,6.382978723404255
20-06-2021,6.382978723404255
21-06-2021,2.127659574468085
22-06-2021,1.0638297872340425
23-06-2021,3.1914893617021276
24-06-2021,4.25531914893617
25-06-2021,3.1914893617021276
26-06-2021,3.1914893617021276
27-06-2021,4.25531914893617
28-06-2021,3.1914893617021276
29-06-2021,4.25531914893617
30-06-2021,5.319148936170213
01-07-2021,4.25531914893617
02-07-2021,5.319148936170213
03-07-2021,5.319148936170213
04-07-2021,6.382978723404255
05-07-2021,6.382978723404255
06-07-2021,7.446808510638298
07-07-2021,5.319148936170213
08-07-2021,3.1914893617021276
09-07-2021,4.25531914893617
10-07-2021,4.25531914893617
11-07-2021,4.25531914893617
12-07-2021,3.1914893617021276
13-07-2021,2.127659574468085
14-07-2021,4.25531914893617
15-07-2021,2.127659574468085
16-07-2021,2.127659574468085
17-07-2021,1.0638297872340425
18-07-2021,2.127659574468085
19-07-2021,1.0638297872340425
20-07-2021,1.0638297872340425
21-07-2021,2.127659574468085
22-07-2021,2.127659574468085
23-07-2021,3.1914893617021276
24-07-2021,3.1914893617021276
25-07-2021,3.1914893617021276
26-07-2021,4.25531914893617
27-07-2021,4.25531914893617
28-07-2021,4.25531914893617
29-07-2021,6.382978723404255
30-07-2021,7.446808510638298
31-07-2021,7.446808510638298
01-08-2021,7.446808510638298
02-08-2021,8.51063829787234
03-08-2021,8.51063829787234
04-08-2021,9.574468085106384
05-08-2021,10.638297872340425
06-08-2021,11.702127659574469
07-08-2021,14.893617021276595
08-08-2021,12.76595744680851
09-08-2021,18.085106382978726
10-08-2021,17.02127659574468
