Metric,Value
Initial Capital,100
Final Portfolio Value,1027.0756651728857
Total Return,9.270756651728856
Annualized Return,3.1711190997684975
Sharpe Ratio,2.6899415586539246
Max Drawdown,-0.480240395475127
Total Trades,830
Start Date,2023-10-01 00:00:00
End Date,2024-11-14 00:00:00
Average Position Change,0.16328936385542167
Benchmark Return,2.0719304902212774
