Date,Value
01-02-2018,
02-02-2018,
03-02-2018,
04-02-2018,
05-02-2018,
06-02-2018,
07-02-2018,
08-02-2018,
09-02-2018,
10-02-2018,
11-02-2018,
12-02-2018,
13-02-2018,
14-02-2018,
15-02-2018,
16-02-2018,
17-02-2018,
18-02-2018,
19-02-2018,
20-02-2018,
21-02-2018,
22-02-2018,
23-02-2018,
24-02-2018,
25-02-2018,
26-02-2018,
27-02-2018,
28-02-2018,
01-03-2018,
02-03-2018,
03-03-2018,
04-03-2018,
05-03-2018,
06-03-2018,
07-03-2018,
08-03-2018,
09-03-2018,
10-03-2018,
11-03-2018,
12-03-2018,
13-03-2018,
14-03-2018,
15-03-2018,
16-03-2018,
17-03-2018,
18-03-2018,
19-03-2018,
20-03-2018,
21-03-2018,
22-03-2018,
23-03-2018,
24-03-2018,
25-03-2018,
26-03-2018,
27-03-2018,
28-03-2018,
29-03-2018,
30-03-2018,
31-03-2018,
01-04-2018,
02-04-2018,
03-04-2018,
04-04-2018,
05-04-2018,
06-04-2018,
07-04-2018,
08-04-2018,
09-04-2018,
10-04-2018,
11-04-2018,
12-04-2018,
13-04-2018,
17-04-2018,
18-04-2018,
19-04-2018,
20-04-2018,
21-04-2018,
22-04-2018,
23-04-2018,
24-04-2018,
25-04-2018,
26-04-2018,
27-04-2018,
28-04-2018,
29-04-2018,
30-04-2018,
01-05-2018,
02-05-2018,
03-05-2018,
04-05-2018,36.766666666666666
05-05-2018,37.13333333333333
06-05-2018,37.71111111111111
07-05-2018,37.888888888888886
08-05-2018,38.31111111111111
09-05-2018,38.77777777777778
10-05-2018,39.388888888888886
11-05-2018,39.44444444444444
12-05-2018,39.6
13-05-2018,39.55555555555556
14-05-2018,39.4
15-05-2018,39.5
16-05-2018,39.388888888888886
17-05-2018,39.34444444444444
18-05-2018,39.144444444444446
19-05-2018,38.7
20-05-2018,38.31111111111111
21-05-2018,37.94444444444444
22-05-2018,37.577777777777776
23-05-2018,37.12222222222222
24-05-2018,36.6
25-05-2018,36.27777777777778
26-05-2018,36.044444444444444
27-05-2018,35.82222222222222
28-05-2018,35.72222222222222
29-05-2018,35.53333333333333
30-05-2018,35.544444444444444
31-05-2018,35.333333333333336
01-06-2018,35.144444444444446
02-06-2018,35.022222222222226
03-06-2018,34.94444444444444
04-06-2018,34.77777777777778
05-06-2018,34.577777777777776
06-06-2018,34.43333333333333
07-06-2018,34.2
08-06-2018,34.233333333333334
09-06-2018,34.233333333333334
10-06-2018,34.08888888888889
11-06-2018,33.82222222222222
12-06-2018,33.58888888888889
13-06-2018,33.34444444444444
14-06-2018,33.077777777777776
15-06-2018,32.922222222222224
16-06-2018,32.81111111111111
17-06-2018,32.7
18-06-2018,32.65555555555556
19-06-2018,32.68888888888889
20-06-2018,32.74444444444445
21-06-2018,32.74444444444445
22-06-2018,32.65555555555556
23-06-2018,32.44444444444444
24-06-2018,32.3
25-06-2018,32.12222222222222
26-06-2018,32.022222222222226
27-06-2018,31.877777777777776
28-06-2018,31.833333333333332
29-06-2018,31.744444444444444
30-06-2018,31.788888888888888
01-07-2018,31.955555555555556
02-07-2018,32.077777777777776
03-07-2018,32.24444444444445
04-07-2018,32.48888888888889
05-07-2018,32.65555555555556
06-07-2018,32.78888888888889
07-07-2018,32.977777777777774
08-07-2018,33.18888888888889
09-07-2018,33.4
10-07-2018,33.62222222222222
11-07-2018,33.71111111111111
12-07-2018,33.87777777777778
13-07-2018,33.977777777777774
14-07-2018,34.1
15-07-2018,34.2
16-07-2018,34.31111111111111
17-07-2018,34.477777777777774
18-07-2018,34.666666666666664
19-07-2018,34.86666666666667
20-07-2018,35.03333333333333
21-07-2018,35.166666666666664
22-07-2018,35.36666666666667
23-07-2018,35.53333333333333
24-07-2018,35.36666666666667
25-07-2018,35.44444444444444
26-07-2018,35.422222222222224
27-07-2018,35.34444444444444
28-07-2018,35.266666666666666
29-07-2018,35.21111111111111
30-07-2018,35.17777777777778
31-07-2018,35.13333333333333
01-08-2018,34.955555555555556
02-08-2018,34.766666666666666
03-08-2018,34.46666666666667
04-08-2018,34.06666666666667
05-08-2018,33.7
06-08-2018,33.28888888888889
07-08-2018,32.977777777777774
08-08-2018,32.53333333333333
09-08-2018,32.28888888888889
10-08-2018,32.03333333333333
11-08-2018,31.788888888888888
12-08-2018,31.544444444444444
13-08-2018,31.333333333333332
14-08-2018,31.155555555555555
15-08-2018,31.011111111111113
16-08-2018,30.833333333333332
17-08-2018,30.7
18-08-2018,30.61111111111111
19-08-2018,30.455555555555556
20-08-2018,30.41111111111111
21-08-2018,30.333333333333332
22-08-2018,30.266666666666666
23-08-2018,30.18888888888889
24-08-2018,30.144444444444446
25-08-2018,30.177777777777777
26-08-2018,30.144444444444446
27-08-2018,30.166666666666668
28-08-2018,29.955555555555556
29-08-2018,29.88888888888889
30-08-2018,29.866666666666667
31-08-2018,29.755555555555556
01-09-2018,29.544444444444444
02-09-2018,29.288888888888888
03-09-2018,29.211111111111112
04-09-2018,29.033333333333335
05-09-2018,28.8
06-09-2018,28.511111111111113
07-09-2018,28.266666666666666
08-09-2018,28.2
09-09-2018,28.177777777777777
10-09-2018,28.133333333333333
11-09-2018,28.122222222222224
12-09-2018,28.08888888888889
13-09-2018,28.022222222222222
14-09-2018,28.033333333333335
15-09-2018,28.044444444444444
16-09-2018,28.055555555555557
17-09-2018,27.977777777777778
18-09-2018,27.833333333333332
19-09-2018,27.68888888888889
20-09-2018,27.644444444444446
21-09-2018,27.8
22-09-2018,28.022222222222222
23-09-2018,28.266666666666666
24-09-2018,28.511111111111113
25-09-2018,28.72222222222222
26-09-2018,28.91111111111111
27-09-2018,29.2
28-09-2018,29.42222222222222
29-09-2018,29.533333333333335
30-09-2018,29.61111111111111
01-10-2018,29.655555555555555
02-10-2018,29.655555555555555
03-10-2018,29.644444444444446
04-10-2018,29.58888888888889
05-10-2018,29.622222222222224
06-10-2018,29.57777777777778
07-10-2018,29.466666666666665
08-10-2018,29.344444444444445
09-10-2018,29.366666666666667
10-10-2018,29.31111111111111
11-10-2018,29.2
12-10-2018,29.022222222222222
13-10-2018,28.833333333333332
14-10-2018,28.633333333333333
15-10-2018,28.42222222222222
16-10-2018,28.22222222222222
17-10-2018,27.988888888888887
18-10-2018,27.755555555555556
19-10-2018,27.544444444444444
20-10-2018,27.266666666666666
21-10-2018,27.011111111111113
22-10-2018,26.766666666666666
23-10-2018,26.433333333333334
24-10-2018,26.1
25-10-2018,25.855555555555554
26-10-2018,25.57777777777778
27-10-2018,25.344444444444445
28-10-2018,25.144444444444446
29-10-2018,24.988888888888887
30-10-2018,24.9
31-10-2018,24.822222222222223
01-11-2018,24.744444444444444
02-11-2018,24.8
03-11-2018,24.944444444444443
04-11-2018,25.122222222222224
