Date 2025-01-08
token 1D 1W 1M 1Q 1Y
BTC -2 0 -2 52 104
ETH -2 -1 -10 36 29
XRP 4 0 9 341 295
SOL -3 2 -8 35 93
BNB 0 -2 2 21 127
DOGE -2 5 -16 209 312
SUI 1 14 29 137 477
USDC 0 0 0 0 0
ADA -5 1 -4 169 67
TON 0 -3 -7 3 97
WLD -6 -1 -23 14 -20
TRX -1 -2 -3 57 139
XLM 0 -3 5 360 250
LINK -5 -6 -7 88 36
AVAX -5 -2 -16 36 -3
ENA -7 1 -2 184 26
HBAR -3 -5 3 453 241
UNI -4 -4 -17 66 100
ONDO -5 -11 -13 83 530
1000SHIB -3 -2 -20 21 114
DOT -4 -5 -19 62 -15
APT -7 0 -23 6 2
FIL -5 0 -17 43 -14
TAO -6 -4 -20 -25 -25
BCH -1 -4 -20 33 71
MOVE -7 7 24 24 24
LTC -2 -4 -7 55 45
JUP -3 -2 -22 6 25
ARB -4 5 -16 48 -65
OP -5 -1 -18 6 -54
1000PEPE -5 -8 -31 83 1239
OM 2 5 14 176 1287
NEAR -4 -3 -19 9 43
EIGEN -5 -6 -23 -13 -15
ICP -2 3 -8 33 -22
ETC -3 -2 -18 36 -4
TIA -8 -7 -31 -16 -72
ZRO -7 -7 -15 20 42
POL -2 -3 -19 24 13
AAVE -4 -8 15 105 175
STRK -5 -7 -27 10 -77
RENDER -7 5 -14 40 11
SEI -5 -6 -29 -11 -47
ZK -7 -4 -8 43 -12
VET -4 -4 -18 99 38
XMR 4 2 16 32 34
FET -6 1 -20 -5 86
VIRTUAL -4 -25 128 128 128
PYTH -5 -6 -17 7 25
MORPHO 0 0 96 102 102
ENS -3 -7 -5 90 83
PENGU -5 -12 25 25 25
JTO 3 -3 -14 61 57
ALGO -4 -6 -11 198 82
KAS 2 -1 -28 -15 -3
RAYDIUM -7 3 4 4 4
ME -6 -10 -50 -50 -50
GRASS -6 0 3 -16 -16
1000BONK -7 -3 -25 33 78
W -4 -10 -16 -17 -80
IMX -4 -6 -25 -15 -41
ATOM -5 -2 -22 52 -38
IO -8 5 3 65 -25
STX -4 -4 -30 -12 -17
GRT -5 1 -19 30 19
INJ -9 7 -20 7 -46
THETA -5 -9 -11 69 100
MOCA -8 -4 44 44 44
SONIC -4 -4 -4 -4 -4
ETHFI -7 -12 -17 33 -38
CRV -4 -11 -17 232 52
AI16Z -8 -28 -28 -28 -28
BIO -9 -29 -29 -29 -29
AERO -4 -6 -36 -26 -26
RONIN -1 -4 -6 19 -30
SAND -6 2 -18 128 13
VANA -5 -8 -55 -55 -55
WIF -9 -8 -43 -38 371
1000FLOKI -6 -6 -29 22 429
EOS -3 -2 -23 69 6
AXS -4 -4 -17 33 -24
RUNE -10 -13 -36 -20 -21
LDO -7 -9 -8 54 -56
JASMY -6 -3 -20 71 471
QNT -2 -9 -21 59 -17
BEAMX -4 -10 -27 53 18
NEO -1 2 -13 37 19
GALA -7 -6 -25 67 27
IOTA -3 1 -14 170 25
DEXE -3 -1 1 1 1
XTZ 9 4 1 109 51
UXLINK -10 -1 122 155 261
ARKM -8 -8 -27 -11 145
MKR -1 -2 -21 9 -27
RSR -6 -5 0 102 410
SAGA -8 -12 -37 -53 -80
KMNO -6 -12 -33 -33 -33
SUPER -8 -9 -35 10 122
DRIFT -10 -5 -5 -12 -12
DYM -7 -10 -37 -22 -78
